Export;EXP-2024-001 (2024-08-26T23:31:52+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-07-08T09:00:00+01:00;2024-07-08T10:00:00+01:00;4.48;3.75;;9.02;2.53;2.82;10.64;7.69;13.6;23.4;10.73;3.32;6.51;3.04;4.78;3.81;9.14;13.42;6.47;10.03;6.23;19.78;7.8;17.11;23.74;6.11;13.09;5.45;5.77;13.01;12.01;12.68;7.79;6.91;5.09;5.78;13.57;6.14;4.11;6;2.17;2.95;15.09;4.72
NO2;uur;µg/m³;2024-07-08T10:00:00+01:00;2024-07-08T11:00:00+01:00;3.43;2.36;;5.36;1.58;2.61;6.89;6.66;9.87;22.28;11.27;3.68;3.53;1.67;3.73;2.7;8.71;13.35;4.82;7.16;3.58;14.79;8.21;17.28;24.09;3.97;10.56;;4.8;11.92;13.02;14.54;7.05;5.36;3.06;5.04;12.07;3.93;4.65;5.88;1.64;3.05;9.96;3.06
NO2;uur;µg/m³;2024-07-08T11:00:00+01:00;2024-07-08T12:00:00+01:00;;3.12;;7.48;1.17;2.66;3;6.2;8.31;21.23;10.04;3.06;2.69;1.52;3.85;2.63;8.14;10.88;2.94;6.3;2.15;13.74;7.79;17.82;19.31;3.46;9.32;4;3.65;17.81;9.61;14.64;5;4.36;3.05;3.33;12.38;4;3.47;5.14;1.57;2.44;11.73;2.52
NO2;uur;µg/m³;2024-07-08T12:00:00+01:00;2024-07-08T13:00:00+01:00;;2.3;;7.11;2.59;2.66;3.63;6.44;9.46;26.59;8.75;4.43;2.18;2.02;3.38;2.45;8.68;15.44;2.92;4.58;3.18;17.67;6.22;12.47;15.77;2.46;8.31;3.63;3.94;9.75;10.21;14.01;4.63;4;3.38;2.66;8.72;3.74;3.63;3.72;1.28;2.03;14.07;2.75
NO2;uur;µg/m³;2024-07-08T13:00:00+01:00;2024-07-08T14:00:00+01:00;3.93;2.67;;10.12;3.44;2.86;2.49;7.98;10.48;26.78;7.16;3.4;2.56;2.09;3.18;3.19;7.92;11.65;4.33;6.36;2.11;15.19;7.57;14.37;16.91;2.33;11.77;3.07;3.12;10.71;8.78;16.1;4.96;3.34;2.74;3.31;12.8;5.11;3.21;3.3;1.52;1.78;11.6;3.08
NO2;uur;µg/m³;2024-07-08T14:00:00+01:00;2024-07-08T15:00:00+01:00;3.79;2.06;;13.53;3.01;2.95;5.01;9.8;13.86;24.22;6.39;3.94;2.99;1.78;3.61;3.17;9.7;8.96;5.01;6.02;1.05;17.1;10.45;21.93;14.64;1.75;10.24;2.77;4.25;10.77;11.23;17.33;5.5;4.2;4.79;3.96;14.63;4.31;4.49;3.21;1.49;1.69;13.01;2.84
NO2;uur;µg/m³;2024-07-08T15:00:00+01:00;2024-07-08T16:00:00+01:00;4.18;5.4;;13.37;3.13;3.74;7.25;11.22;17.26;22.57;6.42;5.69;3.12;2;3.33;5.14;6.71;10.69;2.88;8.16;1.65;17.01;15.7;21.53;13.81;1.82;11.82;2.44;5.1;12.66;13.89;19.1;4.63;6.08;3.17;4.82;18.62;4.64;2.97;2.16;1.52;1.6;10.75;2.69
NO2;uur;µg/m³;2024-07-08T16:00:00+01:00;2024-07-08T17:00:00+01:00;3.8;2.56;;15.01;3.6;7.38;5.13;12.33;22.71;30.26;5.82;7.45;2.71;3.3;3.96;8.29;11.39;9.73;2.6;8.24;2.24;19.49;14.28;23.34;16.21;2.24;7.98;5.38;4.41;14.42;12.15;21.87;4.98;6.2;2.93;6.15;32.86;10.14;2.74;1.23;1.69;1.47;17.05;1.52
NO2;uur;µg/m³;2024-07-08T17:00:00+01:00;2024-07-08T18:00:00+01:00;7.19;3.12;;11.07;4.61;10.34;5.76;16.71;17.36;17.67;6.04;8.22;4.21;4.55;2.32;37.32;12.26;8.49;3.34;9.27;1.58;17.76;13.75;22.98;19.23;2.15;11.68;5.98;4.43;12.83;12.68;27.57;5.16;3.93;3.27;3.88;37.96;12.9;3.61;1.34;1.63;1.7;10.36;1.71
NO2;uur;µg/m³;2024-07-08T18:00:00+01:00;2024-07-08T19:00:00+01:00;7.27;6.65;;10.02;4.07;12.71;5;15.34;16.32;13.82;8.74;10.24;4.12;6.29;3.5;34;8.12;11.34;6.9;9.14;1.52;13.95;10.98;23.72;24.44;1.97;7.72;5.97;5.69;9.69;18.64;16.85;7.39;4.57;5.27;4.81;44.82;18.28;7.58;0.97;2.95;1.39;9.85;3.08
NO2;uur;µg/m³;2024-07-08T19:00:00+01:00;2024-07-08T20:00:00+01:00;7.79;6.72;;11.63;4.92;16.24;4.58;14.04;16.24;14.47;8.26;11.25;6.51;8.47;3.61;17.41;8.66;11.79;11.19;8.59;2.25;17.86;12.5;26.63;33.55;2.67;13.76;6.31;9.44;9.33;23.28;10.96;9.01;5.56;10.17;6.97;43.16;24.44;5.98;2.74;3.24;2.69;13.34;3.74
NO2;uur;µg/m³;2024-07-08T20:00:00+01:00;2024-07-08T21:00:00+01:00;10.81;18.65;;14.08;5.54;42.87;5.68;17.48;16.7;23.12;10.7;16.38;9.95;15.6;5.07;24.44;11.84;14.13;12.78;8.82;4.96;21.39;12.21;26.56;34.18;1.91;14.14;7.95;9.2;7.39;11.54;12.81;9.3;9.17;7.62;8.37;32.53;20.03;5.39;4.41;3.99;3.1;13.2;2.88
NO2;uur;µg/m³;2024-07-08T21:00:00+01:00;2024-07-08T22:00:00+01:00;12.34;13.99;;14.78;9.31;20.96;8.28;13.75;20.77;22.06;14.51;14.19;15.52;18.32;7.2;25.67;12.83;15.63;11.02;10.79;9.49;20.61;11.84;26.87;36.81;1.92;17.9;8.79;9.47;8.09;12.26;15.26;10.05;9.92;11.38;8.37;36.4;17.44;4.67;3.14;3.95;3.09;11.91;2.74
NO2;uur;µg/m³;2024-07-08T22:00:00+01:00;2024-07-08T23:00:00+01:00;8.87;16.14;;11.99;8.61;14.58;8.24;17.24;18.88;25;15.93;10.09;14.08;12.34;10.81;17.22;13.86;13.65;13.56;7.61;16.43;20.81;10.95;20.71;29.98;1.92;28.13;7.59;9.1;7.69;11.64;11.53;9.4;9.54;6.51;7.47;30.75;16.28;5.21;3.4;4.44;2.97;11.87;3.39
NO2;uur;µg/m³;2024-07-08T23:00:00+01:00;2024-07-09T00:00:00+01:00;9.89;12.1;;10.93;8.95;16.65;7.84;15.02;15.47;22.76;14.11;13.58;14.73;11.31;10.56;21.42;9.99;11.32;11.76;11.19;12.89;14.23;7.63;12.23;20.65;2.77;23.49;5.93;8.36;9.29;14.07;10.56;11.17;9.04;5.5;6.68;16.66;9.12;3.66;5.78;4.64;2.94;6.52;4.28
NO2;uur;µg/m³;2024-07-09T00:00:00+01:00;2024-07-09T01:00:00+01:00;11.9;8.71;;13.63;11.54;12.69;9.46;10.41;9.68;16.69;10.56;14.61;12.08;7.58;10.37;21.75;11.16;11.37;15.67;13.42;7.57;9.92;7.98;10.17;15.86;4.89;;6.05;7.17;8.16;8.16;8.7;8.31;9.43;6.74;8.71;14.55;11.44;4.22;4.53;4.99;3.37;5.16;4.84
NO2;uur;µg/m³;2024-07-09T01:00:00+01:00;2024-07-09T02:00:00+01:00;12.34;7;;24.48;11.99;15.98;8.72;7.52;8.14;16.12;9.96;11.11;9.73;6.72;12.82;21.07;11.12;12.49;13.57;16.96;7.47;9.55;7.66;14.44;13.16;4.95;12.35;5.96;7.03;6.9;7.2;7.68;7.25;10.96;7.07;8.45;12.17;10.39;4.81;4.26;5.09;4.2;6.06;5.9
NO2;uur;µg/m³;2024-07-09T02:00:00+01:00;2024-07-09T03:00:00+01:00;13.26;10.46;;36.42;14.67;16.36;8.42;9.33;11.47;18.5;10.6;8.4;10.51;6.01;9.59;14.78;10.8;10.61;15.36;17.54;6.71;10.25;8.61;15.15;12.41;5.04;12.86;5.49;6.79;6.44;6.74;6.51;6.64;11.15;6.86;5.65;13.79;12.08;5.72;4.76;5.19;5.32;5.62;4.92
NO2;uur;µg/m³;2024-07-09T03:00:00+01:00;2024-07-09T04:00:00+01:00;12.4;11.11;;14.23;16.36;12.23;9.3;12.69;13.68;17.01;8.96;7.99;12.72;6.79;8.56;20.66;12.11;13.21;16.09;16.72;7.18;10.43;10.32;14.12;16.02;4.88;32.41;5.03;6.09;6.15;6.34;6.32;6.2;10.16;6.64;5.73;12.68;9.85;6.41;4.02;6.07;4.56;5.92;4.76
NO2;uur;µg/m³;2024-07-09T04:00:00+01:00;2024-07-09T05:00:00+01:00;15.79;14.08;;22.74;24.53;14.34;9.96;16.63;17.01;22.76;14.36;8.72;19.54;8.04;8.49;16.75;10.94;14.16;12.4;14.77;6.86;10.37;8.98;14.75;29.98;4.31;38.32;7.47;6.45;6.55;8.06;7.72;6.56;7.69;7.1;7.2;17.61;11.35;6.84;6.36;6.8;4.78;8.09;3.86
NO2;uur;µg/m³;2024-07-09T05:00:00+01:00;2024-07-09T06:00:00+01:00;24.06;17.15;;29.57;14.01;23.28;10.83;21.61;25.16;43.95;21.55;13.53;19.78;13.11;9.74;14.46;15.55;24.92;12.33;12.83;10.22;15.05;10.58;27.57;39.11;4.3;36.6;7.86;7.26;13.26;16.64;6.18;8.78;9.87;8.12;8.36;30.1;15.55;8.39;5.97;9.18;5.4;15.7;4.4
NO2;uur;µg/m³;2024-07-09T06:00:00+01:00;2024-07-09T07:00:00+01:00;15.41;16.97;;35.79;16.7;22.72;14.52;22.21;31.62;37.67;20.84;14.02;20.3;14.71;11.66;13.01;27.98;31.25;12.19;13.31;11.5;22.74;17.43;40.33;36.55;4.5;33.42;5.36;10;19.84;25.11;7.95;14.14;13.93;8.75;6.85;32;16.74;8.27;6.53;7.22;6.39;21.58;5.99
NO2;uur;µg/m³;2024-07-09T07:00:00+01:00;2024-07-09T08:00:00+01:00;9.73;17.49;;26.7;14.23;16.4;12.84;20.7;23.42;30.88;18.23;12.39;17.06;15.81;14.52;11.7;31;27.65;13.43;21.17;11.09;25.67;15.29;50.1;34.9;5.38;28.68;5.36;11.36;22.82;20.98;9.45;14.37;14.02;9.27;8.08;29.84;15.81;6.46;6.71;6;7.42;18.2;6.56
NO2;uur;µg/m³;2024-07-09T08:00:00+01:00;2024-07-09T09:00:00+01:00;8.35;16.15;;16.87;6.14;15.14;8.9;17.71;16.59;29.97;14.3;13;13.21;15.04;18.91;10.76;32.15;26.16;15.51;13.59;11.51;22.74;16.21;36.3;37.07;5.86;22.66;6.65;11.41;22.22;24.09;9.15;14.61;14.2;8.49;10.25;28.38;15.08;6.16;4.94;4.89;6.3;11.71;4.98
NO2;uur;µg/m³;2024-07-09T09:00:00+01:00;2024-07-09T10:00:00+01:00;8.8;13.02;;15.77;4.35;9.42;8.68;14.13;12.36;26.75;12.94;12.29;9.24;11.95;17.55;14.46;35.45;28.1;16.01;14.97;11.3;25.25;17.5;38.06;38.58;6.84;30.04;6.5;11.26;22.07;23.59;11.19;14.72;14.71;7.04;12.7;27.65;12.51;5.62;4.93;4.15;5.4;12.61;4.51
NO2;uur;µg/m³;2024-07-09T10:00:00+01:00;2024-07-09T11:00:00+01:00;7.12;10.23;;12.05;2.8;8.54;7.88;11.4;10.42;26.29;10.26;9.61;7.92;9.78;27.07;25.38;30.43;33.68;14.74;14.83;9.94;22.47;17.59;47;38.67;8.19;30.22;6.97;10.24;21.3;21.19;11.24;14.01;13.44;7.9;10.64;21.86;12.12;6.03;5.23;4.19;4.74;16.65;4.12
NO2;uur;µg/m³;2024-07-09T11:00:00+01:00;2024-07-09T12:00:00+01:00;4.38;8.12;;12.49;2.85;7.58;6.29;10.06;9.96;21.3;7.25;7.64;5.88;6.65;46.56;23.69;24.67;34.8;16.21;12.33;8.25;20.38;14.65;24.77;35.82;8.87;24.35;6.77;9.27;21.85;20.91;10.12;13.07;13.89;6.88;9.42;19.01;11.38;8.85;4.96;3.57;4.73;15.16;4.07
NO2;uur;µg/m³;2024-07-09T12:00:00+01:00;2024-07-09T13:00:00+01:00;3.87;5.6;;9.97;3.65;5.27;3.13;10.35;9.85;21.09;4.39;7.18;4.76;5.15;44.91;7.54;21.24;46.6;11.66;10.06;6.67;20.85;15.76;23.38;44.69;8.72;23.06;5.83;8.94;18.94;24.86;9.63;12.04;12.48;6.51;9.95;13.39;8.55;5.31;5.26;2.97;4.71;15.5;3.49
NO2;uur;µg/m³;2024-07-09T13:00:00+01:00;2024-07-09T14:00:00+01:00;2.54;5.4;;10.13;2.59;3.53;1.77;9.87;10.15;22.75;5.38;4.81;4.97;3.85;24.31;12;16.78;43.94;7.34;5.85;7.94;22.1;11.68;23.35;44.21;9.28;16.03;6.12;7.23;16.8;24.38;9.64;9.22;7.69;5.46;5.93;14.19;7.02;4.22;4.67;3.3;4.26;18.32;3.43
NO2;uur;µg/m³;2024-07-09T14:00:00+01:00;2024-07-09T15:00:00+01:00;2.16;4.05;;14.81;2.56;4.97;3.99;10.16;12.38;23.44;4.58;4.38;3.89;3.33;7.33;7.4;23.19;25.13;8.8;6.15;7.09;29.97;11.27;31.27;47.03;9.16;17.26;5.37;6.02;16.49;20.73;7.7;6.41;6.48;5.37;4.04;15.58;6.35;3.92;4.26;3.07;3.89;17.95;2.98
NO2;uur;µg/m³;2024-07-09T15:00:00+01:00;2024-07-09T16:00:00+01:00;3.24;4.74;;15.94;2.73;4.93;14.31;7.88;12.01;32.97;3.51;6.3;4.73;3.41;6.3;8.12;14.27;22.98;8.83;6.01;12.95;30.09;22.37;36.2;19.76;9.13;18.76;4.93;4.84;17.22;21.8;7.44;6.79;7.37;4.18;8.73;14.3;5.91;5.95;4.41;2.75;5.41;24.91;3.19
NO2;uur;µg/m³;2024-07-09T16:00:00+01:00;2024-07-09T17:00:00+01:00;3.21;4.8;;11.56;2.95;10.93;6.97;8.39;11.1;16.67;6.57;10.44;5.44;4.54;7.03;6.97;21.16;19.41;34.41;11.3;12.55;24.53;17.43;31.53;18.21;7.87;20.83;4.33;9.01;18.46;22.85;8.04;9.1;9.36;3.71;5.13;15.96;6.51;5.11;4.73;3.2;4.04;19.39;2.92
NO2;uur;µg/m³;2024-07-09T17:00:00+01:00;2024-07-09T18:00:00+01:00;3.01;4.93;;9.98;4.02;7.54;4.64;9.88;11.57;25.41;14.71;20.83;3.8;5.87;3.24;8.51;21.02;16.44;21.36;15.27;23.91;23.07;17.16;19;18.14;6.23;20.21;6.77;11.25;13.84;29.88;19.71;14.92;11.17;3.59;6.12;25.1;11.33;4.68;5.28;3.12;4.13;16.53;3.11
NO2;uur;µg/m³;2024-07-09T18:00:00+01:00;2024-07-09T19:00:00+01:00;3.29;6.98;;11.35;4.35;11.84;3.46;8.36;10.47;19.78;13.83;3.97;5.26;5.5;2.42;33.21;10.06;12.93;14.74;15.25;12.16;15.69;14.2;23.26;18.96;9.72;20.11;7.24;10.55;20.75;20.67;28.41;14.91;10.41;4.37;8.04;27.33;16.65;8.06;7;3.73;4.25;12.06;5.73
NO2;uur;µg/m³;2024-07-09T19:00:00+01:00;2024-07-09T20:00:00+01:00;10.6;8.81;;10.39;8.39;10;4.08;13.72;14.78;20.1;9.96;13.19;10.74;11.81;3.14;42.81;9.92;15.54;15.69;14.81;2.64;18.22;8.71;21.54;32.68;14.84;10.46;11.21;5.07;13.12;14.85;14.57;10.39;5.53;7.75;8.41;13.55;10.72;15.06;8.03;4.68;5.47;23.21;4.55
NO2;uur;µg/m³;2024-07-09T20:00:00+01:00;2024-07-09T21:00:00+01:00;10.07;8.55;;14.03;7.92;11.48;3.57;13.37;13.66;16.99;11.22;7.36;7.33;9.1;2.61;20.55;14.88;17.86;14.29;12.35;6.85;18.87;10.21;31.86;31.88;3.24;25.1;6.68;6.52;10.59;15.09;10.5;8.42;7.68;9.23;8.05;22.55;12.03;8.72;5.92;6.01;6.7;27.12;5.38
NO2;uur;µg/m³;2024-07-09T21:00:00+01:00;2024-07-09T22:00:00+01:00;8.78;8.3;;12.01;8.18;15.61;13.18;11.49;14.62;18.9;12.32;6.55;10.83;8.6;4.64;7.68;19.79;21.22;12.87;10.91;8.86;22.96;17.91;52.81;29.68;2.58;32;;6.91;11.95;12.63;13.42;8.79;8.31;4.42;7.7;36.65;21.64;6.99;2.87;5.83;4.42;16.1;7.67
NO2;uur;µg/m³;2024-07-09T22:00:00+01:00;2024-07-09T23:00:00+01:00;7.09;8.04;;9.37;7.71;10.63;24;12.65;12.36;14.75;9.34;7.53;7.2;8.53;9.74;5.83;11.86;33.93;7.53;9.71;2.87;18.69;35.14;29.99;25.64;2.27;16.1;5.42;7.41;17.08;19.33;18.45;11.53;9.69;4.45;6.34;18.35;13.15;5.79;3.43;4.59;3.98;9.08;3.59
NO2;uur;µg/m³;2024-07-09T23:00:00+01:00;2024-07-10T00:00:00+01:00;5.95;8.82;;8.05;6.94;12.69;24.15;9.4;9.97;16.39;13.82;7.23;7.92;8.72;16.83;5.88;24.64;41.72;4.69;8.6;2.44;24.05;39.19;16.24;28.84;35.03;5.98;6.04;12.1;12.14;13.45;11.65;9.72;10.43;5.37;6.25;6.57;6.17;5.17;3.64;4.32;3.32;8;2.88
NO2;uur;µg/m³;2024-07-10T00:00:00+01:00;2024-07-10T01:00:00+01:00;9.21;12.01;;7.82;6.62;21.71;21.94;;11.47;20.12;18.94;13.61;8.74;8.45;15.76;8.3;49.78;25.76;6.91;11.99;20.99;44.31;31.54;49.12;43;6.62;7.85;7.84;30.28;15.67;14.97;22.96;13.4;11.68;5.83;8.56;8.9;7.73;5.33;4.33;5.41;3.34;5.61;4.14
NO2;uur;µg/m³;2024-07-10T01:00:00+01:00;2024-07-10T02:00:00+01:00;6.48;9.13;;8.67;7.75;19.88;10.79;9.22;11.46;30;28.67;26.94;10.07;9.8;12.63;8.57;28.57;25.75;13.51;10.81;20.82;25.37;20.86;44.38;26.03;11.55;21.82;8.49;23.84;12.82;10.54;32.2;11.48;10.05;4.94;7.45;7.34;7.08;5.29;3.4;4.18;3.09;4.92;3.54
NO2;uur;µg/m³;2024-07-10T02:00:00+01:00;2024-07-10T03:00:00+01:00;5.6;8.51;;7.46;6.88;18.91;12;11.31;13;28.58;25.26;21.12;11.2;11.88;9.48;8.3;18.94;26.73;13.74;14.41;14.48;17.66;19.77;68.64;21.08;25.53;16.27;9.37;16.1;8.66;9.47;16.13;8.62;9.57;4.89;7.41;7.5;7.45;5.74;3.63;3.29;2.89;4.34;3.75
NO2;uur;µg/m³;2024-07-10T03:00:00+01:00;2024-07-10T04:00:00+01:00;5.52;9.48;;8.2;6.66;12;16.48;8.8;10.85;32.94;29.27;12.98;9.35;15.92;14.52;12.57;27.25;18.35;10.07;12.9;13.43;21.87;20.54;44.67;27.64;21.01;13.36;12.53;11.1;8.71;14.18;18.84;9.17;13.14;5.74;7.39;8.31;8.41;6.82;5.77;3.37;2.42;4.39;3.9
NO2;uur;µg/m³;2024-07-10T04:00:00+01:00;2024-07-10T05:00:00+01:00;6.66;10.21;;11.73;5.68;12.85;21.42;9.46;11.81;24.81;19.4;19.41;10.97;14.6;16.05;16.12;26.75;14.04;15.01;13.38;14.84;22.24;34.11;25.63;35.1;23.85;14.85;;11.57;14.02;22.22;25.39;13.63;16.59;7.3;10.16;14.64;13.09;8.82;8.78;3.87;1.8;6.08;3.96
NO2;uur;µg/m³;2024-07-10T05:00:00+01:00;2024-07-10T06:00:00+01:00;7.79;8.9;;14.61;7.1;12.59;14.61;10.71;15.08;30.74;14.45;22.45;11.26;15.43;11.19;18.27;30.36;27.25;16.43;21.28;16.94;24.85;39.52;34.44;42.95;17.51;20.79;;15.23;26.96;30.86;29.06;19.39;19.2;7.03;13.96;15.06;14.04;8.84;11.23;4.4;3.52;10.65;5.44
NO2;uur;µg/m³;2024-07-10T06:00:00+01:00;2024-07-10T07:00:00+01:00;9.84;8.26;;27.07;10.46;12.05;12.93;10.04;17.37;27.41;14.13;10.95;11.66;10.71;12.97;15.75;32.48;24.58;18.26;15.41;21.44;26.28;35.62;31.19;42.36;17.09;24.63;;16.83;31.95;37.6;31.18;24.44;19.33;8.22;14.75;15.42;12.44;9.22;9.99;4.86;6.25;19.53;8.54
NO2;uur;µg/m³;2024-07-10T07:00:00+01:00;2024-07-10T08:00:00+01:00;10.37;8.06;;22.68;8.44;10.72;17.82;10.75;15.96;26.63;14.98;8.82;8.85;8.99;15.57;8.67;32.29;25.6;11.48;10.1;19;31.63;28.25;32.83;44.22;15.74;21.68;;16.6;29.4;24.02;20.26;19.72;10.48;8.53;11.1;15.66;12.86;7.08;8.77;5.74;8.64;20.12;10.76
NO2;uur;µg/m³;2024-07-10T08:00:00+01:00;2024-07-10T09:00:00+01:00;9.28;7.4;;11.77;5.79;7.76;17.79;10.16;10.63;26.15;9.51;11.1;7.83;6.82;11.07;5.63;34.6;22.37;13.19;11.08;18.91;32.74;29.67;25.39;37.34;11.01;20.88;11.54;8.72;17.04;15.02;11.08;9.98;9.16;5.35;6.64;12.2;10.66;7.86;6.94;4.84;8.33;18.13;9.5
NO2;uur;µg/m³;2024-07-10T09:00:00+01:00;2024-07-10T10:00:00+01:00;4.9;6.34;;9.22;3.84;5.73;12.17;7.64;10.7;22.41;9.62;6.66;6.24;6.09;5.78;3.91;20.66;23.42;7.91;10.75;23.42;19.47;15.55;21.5;25.56;10.03;20.15;8.62;9.29;15.75;15.93;10.75;8.49;8.5;3.17;6.07;9.52;7.67;5.82;5;3.72;5.45;12.83;5.2
NO2;uur;µg/m³;2024-07-10T10:00:00+01:00;2024-07-10T11:00:00+01:00;4.01;5.73;;8.18;2.98;5.99;9.29;6.05;11.44;17.82;10.63;5.52;4.55;4.52;2.07;2.51;10.29;16.12;6.13;7.34;10.82;16.09;9.88;16.76;16.19;11.54;17.46;5.62;7.38;12.01;14.54;15.45;8.56;7.67;2.75;6.45;8.9;6.13;3.61;5.75;3.24;2.93;12.3;3.73
NO2;uur;µg/m³;2024-07-10T11:00:00+01:00;2024-07-10T12:00:00+01:00;4.71;5.36;;5.93;2.57;5.05;8.15;4.65;9.91;15.52;7.74;3.53;3.15;2.56;1.59;1.53;8.07;24.57;2.76;6.87;6.65;16.04;12.92;10.57;19.79;10.59;14.86;;6.21;12.8;13.1;10.63;7.67;7.87;2.74;5.5;7.88;5.93;3.53;4.14;2.33;1.8;13.44;3.18
NO2;uur;µg/m³;2024-07-10T12:00:00+01:00;2024-07-10T13:00:00+01:00;2.83;5.18;2.26;8.04;3.1;3.73;9.18;4.08;11.16;17.67;5.58;4.49;2.92;2.02;3.04;1.76;8.16;13.47;2.1;5.06;2.99;13.66;8.31;8.96;17.62;3.21;12.88;4.56;4.19;11.31;13.52;10.66;7.88;4.9;2.75;3.23;10.51;4.34;3.78;4.11;1.42;1.6;12.25;2.91
NO2;uur;µg/m³;2024-07-10T13:00:00+01:00;2024-07-10T14:00:00+01:00;3.17;7.48;1.95;8.15;2.77;3.75;3.09;6.4;12.05;18.25;6.44;4.45;4.61;3.18;2.52;1.97;3.82;11.21;2.1;3.71;1.49;10.35;6.42;8.59;13.57;2.13;12.69;;2.33;10.71;14.74;9.77;5.54;4.29;3.16;4.56;10.96;4.75;3.67;2.64;1.76;1.75;10.52;2.7
NO2;uur;µg/m³;2024-07-10T14:00:00+01:00;2024-07-10T15:00:00+01:00;3.75;9.06;2.24;9.59;3.27;4.6;4.93;8.07;17.48;17.12;5.09;6.31;4.77;4.28;2.51;1.86;3.8;14.37;1.88;5.6;1.06;12.26;6.72;9.38;13.38;2.25;9.11;2.26;2.16;12.6;12.76;10.13;5.66;3.1;4.25;1.88;13.34;4.88;3.71;1.23;2.03;1.53;13.17;4.6
NO2;uur;µg/m³;2024-07-10T15:00:00+01:00;2024-07-10T16:00:00+01:00;3.61;4.2;1.8;7.27;2.84;4.82;4.96;7.81;15.28;22.02;6.23;6.62;3.17;3.51;2.17;2.06;5.13;7.1;1.71;5.46;1.92;11.3;7.05;7.56;19.94;2.5;7.37;2.65;2.39;12.91;11.3;9.78;5.43;4.5;4.26;2.28;15.58;5.86;2.59;1.22;2.37;1.19;19.69;5.06
NO2;uur;µg/m³;2024-07-10T16:00:00+01:00;2024-07-10T17:00:00+01:00;3.47;4.03;1.76;6.81;2.63;6.65;4.56;7.37;11.37;14.91;6.16;7.23;3.04;3.63;2.29;2.12;5.67;7.04;1.77;3.89;1.98;14.08;7.4;8.18;19.46;1.7;8.51;3.8;1.94;11.56;9.73;8.91;4.93;3.23;3.23;8.85;15.33;6.74;2.48;1.19;1.95;0.98;9.3;2.63
NO2;uur;µg/m³;2024-07-10T17:00:00+01:00;2024-07-10T18:00:00+01:00;2.99;4.09;1.78;4.75;2.2;6.68;4.09;4.95;9.07;15.71;5.14;6.93;2.23;4.48;2.02;1.88;5.43;7.61;1.91;4.16;2.69;13.34;7.98;8.88;16.69;6.12;8.14;3.12;2.21;7.72;7.58;8.75;4.24;2.89;3.68;3.62;17.8;6.79;2.1;0.99;1.47;0.67;5.91;1.98
NO2;uur;µg/m³;2024-07-10T18:00:00+01:00;2024-07-10T19:00:00+01:00;3.52;3.31;1.46;5.3;2.11;8.67;5.69;5.48;9.01;12.84;4.31;6.89;2.73;4.89;2.34;1.86;6.94;9.76;2.04;4.19;1.85;11.71;10.21;7.59;16.1;14.6;6.47;3;2.34;8.29;8.75;8.92;5.52;2.84;6.48;2.61;15.03;7.57;2.21;1.77;1.54;0.61;8.35;1.98
NO2;uur;µg/m³;2024-07-10T19:00:00+01:00;2024-07-10T20:00:00+01:00;3.68;5.78;2.61;7.05;3.47;6.75;8.18;12.04;15.01;16.3;5.35;6.04;5.52;4.86;2.2;2.95;8.89;13.29;2.47;4.95;2.59;12.38;13.09;8.98;19.94;23.28;6.61;3.09;3.13;10.23;10.59;9.15;7.44;3.43;5.25;2.41;17.64;7.8;3.05;2.74;1.45;0.78;11.18;2.36
NO2;uur;µg/m³;2024-07-10T20:00:00+01:00;2024-07-10T21:00:00+01:00;5.49;9.79;3.65;11.37;5.09;5.12;6.03;12.68;16.31;10.25;6.13;7.54;6.65;6.01;6.11;2.46;11.77;9.12;2.78;5.47;3.26;15.41;6.96;9.94;16.9;12.14;6.14;3.2;3.53;9.3;10.68;12.55;6.95;6.6;5.45;2.95;12.21;7.64;4.12;3.64;1.82;1.33;9.03;2.79
NO2;uur;µg/m³;2024-07-10T21:00:00+01:00;2024-07-10T22:00:00+01:00;6.59;11.7;4.53;18.98;12.1;5.92;8.75;9.9;20.2;17.42;10.26;6.88;5.5;8.25;7.28;3.12;13.05;8.8;3.54;6.38;6.1;16.26;7.68;31.45;18.34;8.86;7.31;3.97;4.37;12.12;14.82;10.09;8.63;6.68;6.05;4.51;13.47;9.94;4.75;4.17;2.85;1.64;7.92;3.06
NO2;uur;µg/m³;2024-07-10T22:00:00+01:00;2024-07-10T23:00:00+01:00;11.51;10.64;5.39;30.71;14.08;13.72;10.06;12.54;38.8;38.65;24.63;9.92;6.3;9.93;7.14;3.66;12.58;34.28;4.87;11.35;4.58;15.81;14.68;54.85;21.18;11.68;9.87;5.6;5.44;19.67;24.72;16.58;12.47;8.95;3.89;6.2;22.49;18.08;6.2;2.88;3.06;2.4;21.97;5.21
