Export;EXP-2024-001 (2024-08-26T10:53:41+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;2024-06-01T09:00:00+01:00;2024-06-01T10:00:00+01:00;4.83;6.99;4.08;12.2;3.65;3.8;4.27;10.58;10.25;7.45;5.07;;5.41;10.24;1.93;5.48;3.1;7.69;7.26;5.47;1.57;5.24;5.34;7.69;4.5;1.65;5.07;1.02;4.44;1.47;7.21;12.41;2.12;4.37;4.05;1.76;25.55;10.18;10.18;2.27;0.79;3.86;2.6;9.15;2.38
NO2;uur;µg/m³;2024-06-01T10:00:00+01:00;2024-06-01T11:00:00+01:00;6.97;5.53;3.73;13.92;6.71;3.71;5.12;11.73;14.25;6.77;5.27;;6.14;6.84;2.51;3.96;2.99;5.95;5.1;6.11;1.85;6.38;4.38;7.16;4.6;1.73;6.31;0.96;4.61;1.62;7.28;15.68;2.31;7.68;3.14;1.82;33.01;9.67;6.86;2.78;0.58;2.99;2.03;11.18;1.92
NO2;uur;µg/m³;2024-06-01T11:00:00+01:00;2024-06-01T12:00:00+01:00;8.33;4.25;4.87;12.31;6.96;4.05;5.33;15.19;16.61;7.21;6.11;;5.1;11.13;1.57;3.74;3.72;6.46;5.58;7.3;1.16;6.31;5.49;6.57;4.97;2.06;6.45;0.81;4.12;1.38;9.29;12.12;2.02;8.96;3;3.33;31.99;10.97;5.66;2.1;0.83;2.48;1.87;9.87;1.12
NO2;uur;µg/m³;2024-06-01T12:00:00+01:00;2024-06-01T13:00:00+01:00;9.03;3.81;6.7;19.18;7.7;4.43;5.26;12.42;16.17;8.11;6.7;;4.03;13.55;1.66;3.66;3.42;6.01;4.78;7.33;1.1;5.84;4.84;6.15;4.54;1.93;9.84;0.47;4.56;1.77;8.51;13.37;2.44;4.36;2.77;2.06;20.22;8.5;4.17;1.9;0.66;2.1;1.6;11.86;1.26
NO2;uur;µg/m³;2024-06-01T13:00:00+01:00;2024-06-01T14:00:00+01:00;5.25;2.75;4.84;17.94;5.29;4.19;5.97;9.96;13.39;8.04;6.73;;5.04;12.72;1.81;3.4;3.1;4.93;4.69;6.55;1.02;8.01;4.68;6.91;5.72;1.64;7.37;0.83;4.04;2;7.46;16.88;2.35;5.54;2.5;5.29;16.71;8.45;3;1.6;0.47;1.81;1.74;13.39;1.43
NO2;uur;µg/m³;2024-06-01T14:00:00+01:00;2024-06-01T15:00:00+01:00;4.66;2.45;2.8;18.71;3.51;3.68;5.28;9.44;12.54;7.94;6.45;;4.99;8.72;1.94;3.52;2.61;4.48;3.01;8.41;1.42;6.74;3.68;6.37;4.29;1.82;6.37;0.75;4.86;2.11;7.9;13.15;2.51;4.83;2.24;2.18;14.75;6.39;5.58;1.34;0.58;2.03;1.63;9.67;1.27
NO2;uur;µg/m³;2024-06-01T15:00:00+01:00;2024-06-01T16:00:00+01:00;4.84;2.13;4.82;22.4;4.21;3.37;4.78;9.73;13.5;9.62;7.07;;3.85;10.78;1.52;3.94;3.41;4.82;3.9;7.33;0.45;6.99;5.29;7.27;5.23;1.28;4.83;0.79;3.77;2.05;7.9;12.97;2.51;4.53;2.01;2.04;17.27;8.31;2.15;1.29;0.36;2.09;0.92;10.22;1.2
NO2;uur;µg/m³;2024-06-01T16:00:00+01:00;2024-06-01T17:00:00+01:00;4.09;1.96;4.04;20.62;4.56;3.79;4.82;10.43;15.55;8.16;6.92;;3.64;10.15;2.12;5.48;3.19;4.61;2.81;7.78;0.68;7.4;4.64;5.67;4.28;1.39;6.64;0.66;3.83;2.01;8.65;14.61;2.35;3.88;1.86;1.72;17.65;8.91;2.54;1.17;0.14;1.7;0.81;10.38;1.16
NO2;uur;µg/m³;2024-06-01T17:00:00+01:00;2024-06-01T18:00:00+01:00;3.8;2.12;4.55;15.05;4.45;3.32;5.3;9.02;11.46;7.89;6.99;;4.23;10.06;1.66;4.37;3.03;4.48;3.07;7.8;1.22;8.85;4.52;5.45;4.34;0.59;6.2;0.45;3.62;1.79;8.05;15.5;1.92;3.9;1.84;1.3;13.47;7.83;2.56;0.76;-0.1;1.98;1.31;10.6;1.17
NO2;uur;µg/m³;2024-06-01T18:00:00+01:00;2024-06-01T19:00:00+01:00;3.63;2.03;6.45;11.74;4.3;3.7;5.13;8.71;10.67;7.7;6.64;;3.13;10.37;1.43;3.82;3.21;4.87;4.07;7.49;1.37;6.51;5.36;5.61;3.98;1.04;4.87;0.33;3.26;1.76;6.24;17.56;1.76;3.88;2.37;1.43;12.14;6.53;2.81;0.93;-0.14;1.6;1.55;8.84;1.7
NO2;uur;µg/m³;2024-06-01T19:00:00+01:00;2024-06-01T20:00:00+01:00;3.97;1.83;7.17;12.31;4.79;2.89;5.28;7.53;7.08;7.21;5.76;;3.27;11.18;2.19;3.14;3.57;5.18;3.93;6.78;0.7;5.61;4.54;5.06;4.03;1.39;3.55;0.34;2.62;0.99;4.61;8.97;1.17;3.33;1.74;0.76;9.34;6.26;3.5;0.15;0.37;1.71;1.32;8.57;1.58
NO2;uur;µg/m³;2024-06-01T20:00:00+01:00;2024-06-01T21:00:00+01:00;2.88;1.91;4.98;11.29;4.05;2.68;4.33;5.52;5.75;6.92;5.54;;3.14;12.16;2.11;5.61;2.66;4.85;3.08;6.04;0.8;4.75;3.71;3.3;2;1.41;3.35;0.4;2.59;1.07;4.26;8.52;1.21;3.14;1.42;0.5;18.04;6.37;3.08;0.41;0.98;1.54;1.24;6.87;0.72
NO2;uur;µg/m³;2024-06-01T21:00:00+01:00;2024-06-01T22:00:00+01:00;2.54;1.48;4.58;14.56;3.18;1.53;4.34;4.05;5.05;5.99;4.14;;2.3;12.57;2.24;6.44;3.35;4.36;3.97;4.57;0.95;4.54;4.95;4.47;2.64;1.76;3.16;0.79;3.02;1.13;3.97;12.62;1.09;2.66;1.46;0.28;17.82;5.74;5.25;0.19;0.7;1.02;1.59;5.71;0.78
NO2;uur;µg/m³;2024-06-01T22:00:00+01:00;2024-06-01T23:00:00+01:00;2.37;1.32;3.35;10.06;2.09;1.57;3.68;2.48;6.03;3.54;3.42;;1.71;8.28;1.92;4.05;3.04;6.02;4.92;3.24;0.98;4.97;3.72;4.44;2.71;1.57;3.73;0.95;1.92;1.13;4.12;16.56;1.37;2.37;0.87;0.38;15.72;4.75;5.83;0.41;0.86;0.89;1.43;8.13;0.72
NO2;uur;µg/m³;2024-06-01T23:00:00+01:00;2024-06-02T00:00:00+01:00;2.11;1.07;1.63;8.09;2;1.4;3.38;3.4;3.66;3;2.74;;1.39;5.07;2.35;4.09;3.02;5.54;4.62;3.68;1.21;4.88;3.71;3.04;3.7;1.95;3.91;1.09;1.85;1.23;3.76;13.82;1.36;2.21;0.75;0.51;12.87;3.52;2.98;0.36;0.88;0.77;1.95;8.94;1.07
NO2;uur;µg/m³;2024-06-02T00:00:00+01:00;2024-06-02T01:00:00+01:00;2.98;1.98;2.36;4.82;1.94;2.03;2.24;3.34;6.01;3.04;3.11;;2.13;14.89;1.73;4.72;2.55;5.2;3.14;2.75;1.03;3.01;3.35;5.36;3.08;2.03;;1.12;2.48;1.61;3.29;11;2.07;2.45;2.16;1.41;11.54;3.28;2.74;1.6;1.63;1.78;2.6;4.22;1.39
NO2;uur;µg/m³;2024-06-02T01:00:00+01:00;2024-06-02T02:00:00+01:00;2.22;1.21;1.78;3.53;1.55;1.83;1.54;2.29;3.12;2.6;2.4;;1.82;12.89;1.38;3.44;2.22;3.53;1.94;1.89;1;3.61;3.16;4.16;2.51;1.5;2.44;0.06;2.35;0.7;2.68;8.6;1.33;2.17;1.3;0.96;10.05;2.64;0.76;1.12;1.81;1.01;1.19;3.37;0.84
NO2;uur;µg/m³;2024-06-02T02:00:00+01:00;2024-06-02T03:00:00+01:00;2.59;1.4;1.58;4.4;1.37;1.55;1.7;2.54;2.92;2.54;2.06;;1.97;7.33;1.5;2.21;1.09;2.39;1.95;1.21;0.73;2.75;1.33;2.45;1.69;1.75;2.52;0.75;2.7;0.99;3.17;9.04;1.56;2.23;1.3;0.99;13.97;7.08;1.07;1.25;1.5;1.06;1.09;3.17;0.41
NO2;uur;µg/m³;2024-06-02T03:00:00+01:00;2024-06-02T04:00:00+01:00;2.2;1.58;1.56;3.92;1.43;1.35;1.53;3.29;3.07;2.52;1.86;;2.01;9.8;2.02;2.19;1.02;3.1;2.58;1.25;1.34;2.73;1.64;1.83;1.5;1.81;3.33;1.14;3.11;1.29;2.59;7.12;1.73;2.2;1.54;1.01;6.71;2.08;1.48;1.3;1.2;1.24;1.11;3.03;0.36
NO2;uur;µg/m³;2024-06-02T04:00:00+01:00;2024-06-02T05:00:00+01:00;2.63;1.09;1.41;2.64;1.3;1.34;1.16;3.12;3.5;2.65;1.77;;1.64;13.59;1.36;3.02;1.06;1.7;2.44;2.57;0.86;2.42;0.91;2.74;1.48;1.85;8.52;1.07;3.61;1.24;2.6;7.76;1.63;2;1.46;1.14;6.08;2.24;1.99;1.21;0.91;1.23;1.59;2.62;0.52
NO2;uur;µg/m³;2024-06-02T05:00:00+01:00;2024-06-02T06:00:00+01:00;2.11;1.51;1.49;3.11;1.28;1.61;1.52;3.43;3.58;2.77;1.67;;1.81;11.6;1.2;2.47;1.38;1.01;2.53;4.92;0.96;2.19;0.66;2.66;2.11;2.04;4.08;0.72;4.06;1.2;2.06;6.89;1.69;2.38;1.26;1.26;3.92;1.72;0.89;1.46;0.4;1.4;1.3;2.71;0.56
NO2;uur;µg/m³;2024-06-02T06:00:00+01:00;2024-06-02T07:00:00+01:00;2.43;2.11;1.51;4.69;1.21;1.56;1.61;4.12;4.03;1.99;1.63;;2.88;10.16;1.94;3.83;0.74;1.05;1.62;3.87;0.49;1.96;0.61;3.17;1.55;2.08;3.01;0.37;2.97;1.64;2.78;8.37;2.1;3.01;1.49;1.25;6.37;2.49;1.38;1.23;0.84;1.55;1.08;3.05;0.29
NO2;uur;µg/m³;2024-06-02T07:00:00+01:00;2024-06-02T08:00:00+01:00;2.81;2.57;1.66;8.03;1.36;1.72;1.14;4.63;5.48;2.59;2.17;;2.71;5.2;2.84;3.33;1.24;1.65;1.58;2.89;0.53;2.56;1.05;2.93;1.91;1.87;1.4;0.36;2.51;1.72;3.28;9.77;2.17;1.65;1.5;1.12;9.15;4.35;3.43;1.2;0.76;1.4;1.29;2.52;0.27
NO2;uur;µg/m³;2024-06-02T08:00:00+01:00;2024-06-02T09:00:00+01:00;3.25;2.74;1.75;7.88;2.27;1.94;0.93;5.07;8.15;2.77;2.19;;3.12;2.99;1.35;3.35;1.83;1.78;1.8;3.54;1.82;4.38;1.86;4.79;2.21;1.75;2.76;0.47;2.65;2.59;3.65;13.4;2.65;2.27;2.36;1.09;8.14;2.19;2.61;1.63;0.74;1.07;1.62;3.94;0.53
NO2;uur;µg/m³;2024-06-02T09:00:00+01:00;2024-06-02T10:00:00+01:00;3.23;1.94;1.73;7.4;1.77;1.14;1.06;5.99;7.14;3.74;2.41;;2.42;7.17;1.29;2.52;2.22;1.66;1.95;3.21;0.83;3.47;1.84;5.69;2.8;1.4;4.1;0.36;2.64;2.65;6.61;13.92;2.9;2.05;1.25;1.2;7.89;3.11;3.75;1.44;0.97;1.3;1.65;4.74;0.39
NO2;uur;µg/m³;2024-06-02T10:00:00+01:00;2024-06-02T11:00:00+01:00;3.17;1.14;1.83;10.06;1.86;1.37;1.95;4.69;5.79;3.33;2.32;;1.97;7.99;1.43;3.55;1.49;1.89;1.03;3.28;0.53;5.45;1.8;5.87;2.66;1.37;5.56;0.43;2.52;2.62;5.85;13.99;2.96;1.95;1.34;1.13;10.03;3.45;2.11;1.56;0.88;1.17;1.59;6.72;0.51
NO2;uur;µg/m³;2024-06-02T11:00:00+01:00;2024-06-02T12:00:00+01:00;3.83;1.08;2.08;13.86;2.1;1.84;2.62;6.17;8.48;3.53;2.64;;2.27;4.32;1.39;4;0.75;1.78;0.38;3.73;0.21;4.33;1.22;4;2.61;1.99;6.74;0.29;3.84;1.74;5.63;9.44;1.94;2.8;2.08;1.2;15.41;3.62;1.6;1.82;0.57;1.2;1.11;9.29;0.4
NO2;uur;µg/m³;2024-06-02T12:00:00+01:00;2024-06-02T13:00:00+01:00;2.87;1.34;1.66;13.07;4.31;1.44;2.18;7.66;10.95;4.63;2.74;;2.18;3.68;0.96;4.15;0.99;1.42;-0.23;2.53;0.27;5.81;1.06;4.53;2.59;1.64;6.38;0.21;3.76;2.04;4.82;11.43;1.74;3.01;1.81;1.16;17.27;3.57;1.67;1.3;1.12;1.28;1.2;7.48;0.12
NO2;uur;µg/m³;2024-06-02T13:00:00+01:00;2024-06-02T14:00:00+01:00;2.36;1.17;1.54;14.73;4.1;4.1;1.47;7.94;10.77;4.14;2.49;;1.98;4.41;0.79;2.58;0.78;0.94;-0.11;1.95;0.43;5.83;1.37;4.93;3.02;1.61;5.29;0.03;4.2;2.54;6.01;10.93;2.2;3.47;2.51;1.12;15.52;2.93;2.03;1.47;0.64;1.06;1.27;8.3;0.06
NO2;uur;µg/m³;2024-06-02T14:00:00+01:00;2024-06-02T15:00:00+01:00;3.05;1.45;1.6;16.66;2.79;2.41;0.79;8.37;9.3;3.61;2.02;;1.41;3.12;0.88;2.56;0.81;1.43;0.1;1.5;0.16;5.57;1.21;4.44;2.96;1.75;6.02;0.14;3.71;1.68;4.34;9.11;2.18;3.8;1.9;0.99;9.94;3.16;1.82;1.35;0.69;1.03;1.14;6.7;0.21
NO2;uur;µg/m³;2024-06-02T15:00:00+01:00;2024-06-02T16:00:00+01:00;3.27;1.06;1.95;13.61;1.77;2.03;0.97;8.86;9.73;3.71;2.07;;2.03;2.81;1.18;3.37;1.65;0.78;0.16;1.89;0.32;5.75;0.97;5.5;4.39;1.81;7.68;0.13;3.17;1.7;4.6;10.04;2;3.21;2.9;1.12;15.63;3.62;1.62;1.28;0.33;1.12;0.88;6;-0.06
NO2;uur;µg/m³;2024-06-02T16:00:00+01:00;2024-06-02T17:00:00+01:00;2.82;0.94;2.13;15.24;2.01;2.27;1.1;9.1;9.38;3.4;1.99;;2.08;3.26;1.64;1.51;1.91;1.48;0.42;1.35;0.33;10.44;1.66;5.19;3.25;1.88;4.44;0.17;3.62;1.94;4.24;12.28;2.13;3.69;2.73;1.01;13.7;3.73;1.83;1.23;0.51;1.06;0.89;8.34;0.08
NO2;uur;µg/m³;2024-06-02T17:00:00+01:00;2024-06-02T18:00:00+01:00;2.7;1.55;1.73;16.45;1.82;2.07;1.33;6.67;7.33;3.08;2;;2.21;3.09;2.21;3.77;1.5;1.63;0.49;1.89;0.63;7.55;1.78;5.14;3.18;1.59;4.41;0.08;4.12;2.04;3.84;12.84;2.62;4.08;2.36;1.21;11.62;3.93;1.65;1.71;0.76;0.94;0.7;6.33;0.12
